ITS Id,Server Type,Status,Primary SA,RU Size,Current Rack,Current Position,Current Location,Serial #,Manufacturer,Model,General Notes
"esx54","VMware Host","Available","anicasm","2","C9","'42 - 43'","Keller 103","FN1YBX1","Dell","Dell R720","",
"esx55","VMware Host","Available","anicasm","2","Not Assigned","''","","FN3YBX1","Dell","Dell R720","",
"esx56","VMware Host","Available","thang","2","Not Assigned","''","","FN2ZBX1","Dell","Dell R720","",
"esx58","VMware Host","Available","anicasm","2","Not Assigned","''","","FN30CX1","Dell","Dell R720","",
"esx59","VMware Host","Available","anicasm","2","Not Assigned","''","","FN40CX1","Dell","Dell R720","",
"esx60","VMware Host","Available","anicasm","2","Not Assigned","''","","FN4YBX1","Dell","Dell R720","",
"esx62","VMware Host","Available","anicasm","2","Not Assigned","''","","ck3xpq1","Dell","Dell R710","",
"flb11","Standalone","Available","","null","Not Assigned","''","","","Foundry","","",
"flb12","Standalone","Available","","null","Not Assigned","''","","","Foundry","","",
"frm05","Standalone","Available","","null","Not Assigned","''","","","null","netra T1 105","",
"hit03","Standalone","Available","","null","Not Assigned","''","","","Hitachi","","",
"hit04","Standalone","Available","","null","Not Assigned","''","","","Hitachi","","",
"ibm03","Standalone","Available","romeot","null","Not Assigned","''","","","IBM","v7000","",
"ibm04","Standalone","Available","romeot","null","Not Assigned","''","","","IBM","v7000","",
"ied03","Standalone","Available","","null","Not Assigned","''","","","null","v20Z","",
"ied04","Standalone","Available","anicasm","null","Not Assigned","''","","XG053742436","null","v20Z","",
"its06","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","420R","",
"jmp01","Standalone","Retired","","null","Not Assigned","''","","","null","v100","Retired 9/1/2011, still exists in DNS",
"ldp20","Standalone","Available","","null","Not Assigned","''","","","null","v100","",
"ldp25","Standalone","Retired","","null","Not Assigned","''","","","null","v100","ldp25 was at JABSOM.",
"lrg21","Standalone","Available","cmhall","null","Not Assigned","''","","","Dell","Dell R310","",
"lrg22","Standalone","Available","cmhall","null","Not Assigned","''","","","Dell","Dell R310","",
"lrg23","Standalone","Available","cmhall","null","Not Assigned","''","","","Dell","Dell R310","",
"lrg24","Standalone","Available","cmhall","null","Not Assigned","''","","","Dell","Dell R310","",
"lrg25","Standalone","Available","cmhall","null","Not Assigned","''","","","Dell","Dell R310","",
"lsi01","Standalone","Available","thang","null","Not Assigned","''","","0720EG0328","Sun","Sun 6540 disk array","",
"nas02","Standalone","Retired","","null","Not Assigned","''","","","null","V480","",
"nl00","Standalone","Available","msahara","null","Not Assigned","''","","","Dell","Dell 1950","",
"odb04","Standalone","Available","garry","null","Not Assigned","''","","0634BD12F0","null","v440","",
"odb09","Standalone","Available","anicasm","5","C10","'7 - 11'","Keller 103","","null","V480","",
"odb20","Standalone","Available","anicasm","null","Not Assigned","''","","","null","v480","",
"odb21","Standalone","Retired","nakadoma","null","Not Assigned","''","","","null","v240","",
"odb24","Standalone","Available","","null","Not Assigned","''","","","null","v210","",
"odb30","Standalone","Available","romeot","null","Not Assigned","''","","","null","R510","",
"odb91","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","SF4800","",
"OracleVM Cluster","","null","","null","Not Assigned","''","","","null","","",
"ovm01","VMware Host","Available","anicasm","null","Not Assigned","''","","63DKBM1","Dell","Dell R710","",
"ovm02","VMware Host","Available","anicasm","null","Not Assigned","''","","83DKBM1","Dell","Dell R710","",
